publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Rikkie,Mombasa vlog/Magical Moments,https://www.youtube.com/watch?v=paLlpXieDvY,07/06/2016,8871,6,41,1481489504
Rikkie,Huddah Monroe Liquid Lipstic Review/All Shades,https://www.youtube.com/watch?v=gOjMSJf5l8Q,22/09/2016,4376,6,51,1481489505
Rikkie,ARRESTED FOR VLOGGING AT A MALL IN NAIROBI/ They starred ay my b**bs/Rude m.a.c staff,https://www.youtube.com/watch?v=sjY7-pp9O30,12/11/2016,3907,10,39,1481489507
Rikkie,OH ITS SO HOT IN NAIROBI,https://www.youtube.com/watch?v=HRYJ1Dt6RXE,10/11/2016,2919,5,20,1481489510
