publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Kangai Mwiti,I'm A Survivor!!! | Lena's Breast Cancer Awareness Makeover,https://www.youtube.com/watch?v=-wse_RGMO1o,20/10/2015,2195,1,195,1482260422
Kangai Mwiti,I'm  a Survivor!!! | Sarah's Breast Cancer Awareness Makeover,https://www.youtube.com/watch?v=kAYTKW9W36o,13/10/2015,3908,2,358,1482260423
Kangai Mwiti,Smoky Eyes with Jane!,https://www.youtube.com/watch?v=LtH-eMEA1ik,06/10/2015,10554,7,683,1482260424
Kangai Mwiti,Bridal Makeup Tutorial- Part 3 (Full Foundation + Highlighting),https://www.youtube.com/watch?v=2UBQc57SZVg,29/09/2015,12384,5,411,1482260425
Kangai Mwiti,Bridal Makeup Tutorial- Part 2 (Eyebrows),https://www.youtube.com/watch?v=dBUr_L-g3vg,22/09/2015,8817,6,296,1482260426
Kangai Mwiti,Bridal Makeup Tutorial- Part 1,https://www.youtube.com/watch?v=Mrb21R_EW3g,15/09/2015,32256,16,891,1482260427
Kangai Mwiti,Guess WHAT???,https://www.youtube.com/watch?v=qwvbzrkP6Ak,08/09/2015,2799,1,232,1482260429
Kangai Mwiti,Foundation: Bohemian Chic,https://www.youtube.com/watch?v=6lYHIYksnNQ,29/06/2015,10772,1,580,1482260430
Kangai Mwiti,Nairobi Sunrise with Kobi!,https://www.youtube.com/watch?v=-kuCX8vg_yI,16/06/2015,7898,7,438,1482260432
Kangai Mwiti,"Bohemian Chic Makeup, featuring Patricia Kihoro",https://www.youtube.com/watch?v=ske6CslWHBY,14/05/2015,10168,8,524,1482260433
Kangai Mwiti,Full-face Series- Full Makeup Tutorial,https://www.youtube.com/watch?v=K5gbpyXtbBU,09/05/2015,14889,2,545,1482260435
Kangai Mwiti,Full-face- Current Eyebrow Routine,https://www.youtube.com/watch?v=L1JeGou1HZQ,05/05/2015,6928,1,297,1482260436
Kangai Mwiti,Full-face Series- How to cover up active acne!!,https://www.youtube.com/watch?v=kvvrHL1l5lM,08/04/2015,13772,7,569,1482260437
Kangai Mwiti,My Current Favs!,https://www.youtube.com/watch?v=qV-VuS_7G6w,11/03/2015,11166,3,376,1482260439
Kangai Mwiti,Celebrating International Women's Day with Grace on Your Dash!,https://www.youtube.com/watch?v=RUegt3cc0dE,06/03/2015,3590,0,275,1482260440
Kangai Mwiti,Smoky Green Eyes- part 2: Foundation + Eyebrows (intermediate),https://www.youtube.com/watch?v=Hx1MzdGo6p8,28/02/2015,11313,4,964,1482260442
Kangai Mwiti,Smoky Green Eyes- Part 1,https://www.youtube.com/watch?v=Hp1ThsuUaQg,25/02/2015,9333,4,785,1482260443
Kangai Mwiti,Maasai Beaded Necklace Inspired Tutorial- Intermediate/Advanced,https://www.youtube.com/watch?v=2MZGbSDCpLs,21/02/2015,14776,18,653,1482260444
