publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Mandi Sarro,How To Make Cajun Fried Whole Fish | Miss Mandi Throwdown,https://www.youtube.com/watch?v=avoymFj_bqU,31/03/2016,4370,1,105,1481498987
Mandi Sarro,Bloopers | Miss Mandi Throwdown,https://www.youtube.com/watch?v=ngHiejNlJjY,24/03/2016,2667,1,92,1481498988
Mandi Sarro,How To Make Grilled Tamarind Gizzards | Miss Mandi Throwdoen,https://www.youtube.com/watch?v=b6tOJhITPUs,21/03/2016,2342,0,116,1481498989
Mandi Sarro,How To Make Fluffy Banana ButterMilk Pancakes | Miss Mandi Throwdown,https://www.youtube.com/watch?v=TdtZh_v9oqM,17/03/2016,5655,0,182,1481498990
Mandi Sarro,How To Make Garlic & Mized Herbs Grilled Lamb Chops | Miss Mandi Throwdown,https://www.youtube.com/watch?v=wluUfKRUZoI,10/03/2016,3321,0,107,1481498991
Mandi Sarro,How To Make Liver | Miss Mandi Throwdown,https://www.youtube.com/watch?v=pWmUSBai93o&t=71s,06/03/2016,10792,1,271,1481498992
Mandi Sarro,Mandi's Favorite Spices | Miss Mandi Throwdown,https://www.youtube.com/watch?v=Qn2rbHSpeWg,03/03/2016,2828,1,68,1481498994
Mandi Sarro,How To Make Yogurt Kienyeji Chicken | Miss Mandi Throwdown,https://www.youtube.com/watch?v=CB9RQFDLSGM,25/02/2016,9725,1,422,1481498995
Mandi Sarro,How To Make Peanut butter & Strawberry French Toast Roll Ups | Miss Mandi Throwdown,https://www.youtube.com/watch?v=MkVvano6Zt4&t=4s,18/02/2016,5113,1,163,1481498996
Mandi Sarro,How To Make BBQ Chicken wings | Miss Mandi Throwdown,https://www.youtube.com/watch?v=lAOWl2T4-IM,11/02/2016,6223,2,334,1481498998
Mandi Sarro,The Perfect Valentines Date | Sarova Stanley,https://www.youtube.com/watch?v=12wgm33p1_8,10/02/2016,1630,0,57,1481498999
Mandi Sarro,Qiuck Fix Episode 1| Plantain+ Ice Crean | Miss Mandi Throwdown ,https://www.youtube.com/watch?v=KpSDRF3bSV4,04/02/2016,982,0,29,1481498999
Mandi Sarro,Mandi Sarro + Miss Mandi Channel Trailer,https://www.youtube.com/watch?v=QOBbV5UGljQ,04/02/2016,7278,0,83,1481499001
Mandi Sarro,I am Miss Mandi,https://www.youtube.com/watch?v=avP7ot4OI5g&t=90s,10/07/2013,5755,1,58,1481499003
